0	1.235
1	0.993
2	0.998
3	0.979
4	0.897
5	0.988
6	1.05
7	0.971
8	0.959
9	0.997
10	0.833
11	0.95
12	1.
13	1.01
14	1.21
15	0.974
16	0.989
17	1.085
18	0.955
19	1.153
20	1.276
21	1.343
22	1.147
23	1.098
24	1.186
